MAFSample2 mixProp haplotypeLength Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_sumOfHalves_01 Training_mTDT2G_cv2_sumOfHalves_05 Training_mTDT2G_cv2_sumOfHalves_001 Training_mTDT2G_cv2_sumOfHalves_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 
0.3 0.833 8 0.009 0.052 0.001 0.007 0.009 0.044 0 0.003 0.025 0.08 0.003 0.012 0.008 0.038 0.001 0.003 0.009 0.055 0 0.004 0.006 0.04 0 0.002 0.006 0.035 0 0.001 0.008 0.059 0.001 0.004 0.007 0.047 0 0.004 0.014 0.051 0.001 0.009 0.018 0.063 0.001 0.009
0.5 0.833 8 0.009 0.046 0.001 0.007 0.004 0.038 0.002 0.002 0.025 0.081 0.001 0.01 0.009 0.056 0.001 0.005 0.009 0.043 0.002 0.008 0.009 0.044 0 0.002 0.005 0.041 0 0.002 0.005 0.048 0 0.001 0.019 0.053 0.002 0.008 0.01 0.058 0.002 0.008 0.017 0.074 0.003 0.011
0.1 0.5 10 0.008 0.053 0.001 0.002 0.011 0.051 0 0.006 0.021 0.079 0.003 0.014 0.007 0.045 0 0 0.015 0.051 0 0.006 0.014 0.058 0.002 0.006 0.018 0.057 0.001 0.01 0.01 0.05 0 0.005 0.012 0.06 0 0.005 0.004 0.044 0 0 0.006 0.056 0 0.004
0.3 0.5 10 0.013 0.054 0 0.005 0.013 0.052 0.002 0.007 0.02 0.08 0.003 0.006 0.009 0.048 0 0.003 0.012 0.059 0.001 0.003 0.01 0.047 0.001 0.004 0.015 0.059 0.002 0.009 0.01 0.052 0.001 0.004 0.012 0.048 0.001 0.008 0.006 0.036 0 0.003 0.008 0.053 0.001 0.004
0.5 0.5 10 0.006 0.057 0 0.002 0.014 0.059 0 0.006 0.022 0.078 0.005 0.012 0.008 0.046 0.001 0.003 0.009 0.048 0.002 0.006 0.009 0.05 0.001 0.006 0.01 0.044 0.002 0.006 0.017 0.049 0.001 0.011 0.011 0.047 0.001 0.006 0.002 0.03 0 0.001 0.004 0.048 0 0.003
0.1 0.75 10 0.017 0.063 0.004 0.005 0.01 0.045 0.001 0.005 0.021 0.078 0.005 0.011 0.018 0.064 0.002 0.014 0.013 0.047 0 0.005 0.013 0.047 0.001 0.004 0.009 0.057 0.001 0.006 0.012 0.052 0.001 0.006 0.01 0.044 0.002 0.007 0.015 0.04 0.001 0.005 0.015 0.055 0.001 0.009
0.3 0.75 10 0.009 0.054 0.001 0.005 0.01 0.045 0 0.006 0.025 0.079 0.005 0.015 0.011 0.051 0 0.006 0.013 0.064 0.003 0.006 0.006 0.038 0.001 0.003 0.007 0.046 0.002 0.007 0.01 0.053 0.001 0.006 0.013 0.048 0.003 0.007 0.016 0.043 0 0.008 0.015 0.058 0 0.008
0.5 0.75 10 0.008 0.058 0.002 0.004 0.012 0.047 0.001 0.003 0.029 0.08 0.006 0.014 0.008 0.055 0.001 0.004 0.016 0.055 0.001 0.009 0.01 0.049 0.001 0.004 0.006 0.051 0 0.001 0.011 0.039 0 0.008 0.014 0.059 0 0.004 0.01 0.042 0.002 0.006 0.011 0.062 0.001 0.008
0.1 0.833 10 0.008 0.046 0.001 0.004 0.006 0.042 0.002 0.005 0.032 0.086 0.01 0.018 0.018 0.05 0 0.01 0.013 0.052 0.003 0.006 0.002 0.044 0 0 0.015 0.058 0.001 0.009 0.008 0.051 0 0.002 0.007 0.041 0.001 0.004 0.014 0.043 0.001 0.005 0.016 0.055 0.001 0.009
0.3 0.833 10 0.011 0.05 0.002 0.005 0.008 0.035 0.001 0.003 0.026 0.076 0.008 0.019 0.011 0.057 0.002 0.007 0.011 0.048 0.001 0.006 0.011 0.053 0 0.004 0.013 0.056 0.002 0.006 0.004 0.038 0 0.001 0.007 0.05 0 0.004 0.013 0.047 0.001 0.006 0.017 0.062 0.001 0.009
0.5 0.833 10 0.01 0.053 0.001 0.007 0.007 0.041 0.001 0.003 0.03 0.078 0.006 0.015 0.008 0.057 0.001 0.004 0.006 0.046 0 0.004 0.013 0.073 0 0.007 0.007 0.044 0.001 0.002 0.008 0.058 0.001 0.005 0.007 0.045 0.001 0.004 0.009 0.047 0.001 0.002 0.014 0.072 0.001 0.008
